epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1342.26,0.03304,0.36438,0.87925,0.97441,0.9667,0.99042,0.98949,0.10478,0.28315,0.31676,0.001783,0.001783,0.001783
85,1836.66,inf,0.36332,0.87894,0.97461,0.96624,0.99037,0.98964,0.1038,0.28199,0.31625,0.001684,0.001684,0.001684
85,1782.48,0.0328,0.36371,0.87849,0.97409,0.96667,0.99044,0.98959,0.10402,0.28186,0.31636,0.001684,0.001684,0.001684
86,2268.19,0.03142,0.35909,0.88042,0.97477,0.96626,0.99041,0.98983,0.10339,0.28266,0.31604,0.001585,0.001585,0.001585
86,2227.39,0.03213,0.36244,0.8788,0.97412,0.96714,0.99039,0.98948,0.10358,0.28048,0.31611,0.001585,0.001585,0.001585
87,2701.3,0.0312,0.35971,0.87878,0.96819,0.97333,0.9904,0.98993,0.10333,0.28355,0.31594,0.001486,0.001486,0.001486
87,2672.57,0.03119,0.35853,0.88036,0.97429,0.96711,0.99044,0.98954,0.10273,0.27885,0.31569,0.001486,0.001486,0.001486
88,3137.7,0.03034,0.35603,0.87842,0.9677,0.97392,0.9904,0.98998,0.1033,0.28605,0.31581,0.001387,0.001387,0.001387
88,3143.75,0.03103,0.35928,0.87872,0.96739,0.97392,0.99049,0.98954,0.10185,0.27661,0.31527,0.001387,0.001387,0.001387
89,3594.81,inf,0.35417,0.87977,0.96765,0.97401,0.9904,0.98997,0.10326,0.2892,0.31569,0.001288,0.001288,0.001288
89,3608.85,0.02998,0.35533,0.87831,0.96727,0.97453,0.99049,0.98952,0.10141,0.27555,0.31495,0.001288,0.001288,0.001288
90,4044.9,0.02938,0.3528,0.87884,0.96758,0.97407,0.9904,0.99005,0.1024,0.29308,0.31513,0.001189,0.001189,0.001189
91,226.189,0.01971,0.13415,0.87913,0.96817,0.97383,0.99046,0.98998,0.10224,0.29456,0.31506,0.00109,0.00109,0.00109
92,438.372,inf,0.10108,0.87898,0.96826,0.97403,0.99044,0.98991,0.10253,0.29449,0.31527,0.000991,0.000991,0.000991
93,652.767,0.01731,0.0978,0.87907,0.96825,0.97449,0.9905,0.98979,0.10204,0.2941,0.31515,0.000892,0.000892,0.000892
94,869.07,inf,0.09561,0.87985,0.96867,0.97449,0.99051,0.98986,0.10146,0.29631,0.31488,0.000793,0.000793,0.000793
95,1081.33,inf,0.09301,0.88122,0.97045,0.97248,0.99055,0.98987,0.10082,0.30144,0.31455,0.000694,0.000694,0.000694
96,1298.21,0.01473,0.0884,0.88094,0.971,0.97273,0.99061,0.98992,0.10026,0.30827,0.31424,0.000595,0.000595,0.000595
97,1513.5,0.01413,0.08594,0.87737,0.97108,0.9725,0.99068,0.98996,0.09957,0.31557,0.31383,0.000496,0.000496,0.000496
98,1726.09,inf,0.08386,0.87979,0.97102,0.97316,0.99067,0.99,0.09836,0.32489,0.31313,0.000397,0.000397,0.000397
99,1940.02,inf,0.08144,0.87781,0.97102,0.97324,0.99071,0.99015,0.09747,0.33286,0.31261,0.000298,0.000298,0.000298
100,2148.25,inf,0.08113,0.8795,0.97084,0.97338,0.99065,0.98998,0.09631,0.34429,0.31192,0.000199,0.000199,0.000199
