epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,695.995,0.95118,1.45634,0.84102,1.06673,0.6915,0.72778,0.69322,0.4862,0.6915,0.72778,0.69718,0.46618,1.1031,1.73324,1.10059,1.20206,0.000424556,0.000424556,0.000424556
73,705.769,0.91893,1.45957,0.82977,1.03359,0.77435,0.63889,0.71172,0.4947,0.77435,0.63889,0.71127,0.47965,1.07633,1.73111,1.02059,1.19433,0.000410409,0.000410409,0.000410409
74,715.349,0.89093,1.38767,0.7752,1.03323,0.71376,0.71111,0.75224,0.51852,0.71376,0.71111,0.75091,0.50665,1.06536,1.73131,0.94505,1.18996,0.000396262,0.000396262,0.000396262
75,724.669,0.9467,1.45566,0.81374,1.05263,0.68473,0.75556,0.71633,0.48729,0.68473,0.75556,0.71716,0.48292,1.08575,1.78349,1.00648,1.20624,0.000382115,0.000382115,0.000382115
76,734.406,0.9442,1.43249,0.81614,1.05483,0.72005,0.73333,0.68808,0.47529,0.71456,0.71111,0.68621,0.46195,1.09945,1.80302,1.06704,1.23103,0.000367967,0.000367967,0.000367967
77,744.194,0.93765,1.45703,0.81948,1.04211,0.67542,0.64622,0.67869,0.47243,0.67542,0.64622,0.67857,0.46503,1.07924,1.80046,1.08475,1.21142,0.00035382,0.00035382,0.00035382
78,753.641,0.90888,1.37844,0.78954,1.03597,0.70705,0.68842,0.71653,0.4951,0.70705,0.68842,0.70626,0.47239,1.07076,1.84379,1.03096,1.20117,0.000339673,0.000339673,0.000339673
79,763.236,0.89094,1.43447,0.777,1.02171,0.66231,0.68333,0.70654,0.4925,0.66231,0.68333,0.70744,0.48736,1.07993,1.82849,1.01187,1.19419,0.000325526,0.000325526,0.000325526
80,772.766,0.89633,1.38911,0.77569,1.03116,0.70877,0.7514,0.73493,0.50749,0.74372,0.68593,0.73078,0.49053,1.04639,1.79035,0.97264,1.17345,0.000311379,0.000311379,0.000311379
81,782.306,0.87143,1.33888,0.74845,1.02139,0.67445,0.71786,0.7142,0.50192,0.63433,0.75,0.70825,0.4855,1.05816,1.80204,1.0068,1.1854,0.000297232,0.000297232,0.000297232
