epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,720.623,0.90117,1.39686,0.73954,1.04845,0.68972,0.72222,0.71841,0.51462,0.70373,0.73333,0.73032,0.50672,1.10636,1.81114,1.07767,1.25934,0.000382115,0.000382115,0.000382115
76,730.015,0.87088,1.34865,0.71368,1.03277,0.6884,0.75556,0.71857,0.52031,0.6884,0.75556,0.72465,0.5019,1.09867,1.8394,1.06616,1.28161,0.000367967,0.000367967,0.000367967
77,739.556,0.86977,1.35707,0.69127,1.02734,0.71339,0.72718,0.72697,0.51255,0.7022,0.71776,0.72525,0.48727,1.09677,1.85234,1.07009,1.2681,0.00035382,0.00035382,0.00035382
78,748.949,0.86357,1.33466,0.69233,1.03228,0.74135,0.65593,0.6953,0.48857,0.74135,0.65593,0.69022,0.46437,1.10838,1.9299,1.09426,1.26037,0.000339673,0.000339673,0.000339673
79,758.275,0.86366,1.3412,0.69314,1.01762,0.76531,0.65991,0.72901,0.51297,0.76531,0.65991,0.73426,0.49302,1.10461,1.84803,1.03009,1.26185,0.000325526,0.000325526,0.000325526
80,767.689,0.83936,1.3053,0.68142,1.02059,0.78691,0.68119,0.74514,0.52364,0.78691,0.68119,0.74298,0.50273,1.09058,1.83003,1.00517,1.2779,0.000311379,0.000311379,0.000311379
81,777.175,0.80783,1.27411,0.66606,1.0044,0.64991,0.76667,0.72733,0.50705,0.73591,0.66667,0.71726,0.4921,1.13742,1.83572,1.07427,1.31604,0.000297232,0.000297232,0.000297232
82,786.551,0.82513,1.28556,0.67218,1.01714,0.7332,0.68889,0.7393,0.51454,0.7332,0.68889,0.73545,0.50174,1.11081,1.84826,1.01608,1.27989,0.000283085,0.000283085,0.000283085
83,795.742,0.82449,1.30431,0.65544,1.00026,0.79532,0.64444,0.71637,0.50284,0.79532,0.64444,0.72136,0.48761,1.09998,1.92816,1.07398,1.27261,0.000268938,0.000268938,0.000268938
84,805.092,0.816,1.32196,0.64396,1.01122,0.70975,0.69975,0.73062,0.52185,0.74755,0.65584,0.72209,0.49007,1.08781,1.94811,1.10417,1.25565,0.000254791,0.000254791,0.000254791
85,814.353,0.82609,1.26956,0.6708,1.01078,0.68007,0.72222,0.72466,0.51323,0.66757,0.71111,0.71729,0.48917,1.07013,1.87251,1.04293,1.25618,0.000240644,0.000240644,0.000240644
86,823.575,0.82521,1.26705,0.64642,1.00746,0.7143,0.69444,0.72015,0.51373,0.70245,0.68333,0.71767,0.49288,1.06355,1.87891,1.02233,1.25272,0.000226497,0.000226497,0.000226497
87,832.883,0.81545,1.30463,0.64423,1.00811,0.73253,0.70183,0.73146,0.51669,0.71568,0.7,0.72139,0.49285,1.0671,1.83131,1.00712,1.25139,0.000212349,0.000212349,0.000212349
88,842.336,0.81724,1.25791,0.65769,0.99997,0.78065,0.7,0.72223,0.50453,0.76636,0.68889,0.69987,0.47482,1.07897,1.89673,1.02544,1.24824,0.000198202,0.000198202,0.000198202
89,851.545,0.79511,1.26611,0.65137,1.00228,0.71799,0.71839,0.71801,0.50941,0.70539,0.70753,0.7056,0.48749,1.05472,1.86057,1.04562,1.22835,0.000184055,0.000184055,0.000184055
90,861.026,0.79182,1.27601,0.63486,0.99808,0.72643,0.71667,0.71526,0.5108,0.7098,0.71667,0.71612,0.48971,1.07085,1.86878,1.02385,1.24295,0.000169908,0.000169908,0.000169908
91,883.265,0.69787,1.10807,0.58048,0.94897,0.72481,0.70213,0.6847,0.47723,0.74947,0.67778,0.6846,0.46056,1.11863,1.91677,1.07695,1.27108,0.000155761,0.000155761,0.000155761
92,890.712,0.65984,1.0662,0.50531,0.92815,0.68967,0.72778,0.69545,0.48153,0.68967,0.72778,0.69455,0.46781,1.11725,1.92204,1.0373,1.30509,0.000141614,0.000141614,0.000141614
93,898.298,0.66521,1.08473,0.49606,0.93432,0.72368,0.73333,0.70193,0.48951,0.70638,0.7287,0.69792,0.47708,1.12525,1.9339,1.03418,1.30171,0.000127467,0.000127467,0.000127467
94,905.812,0.66313,1.05417,0.47437,0.92587,0.74395,0.69111,0.698,0.49647,0.74395,0.69111,0.69609,0.48137,1.09427,1.93052,1.02952,1.25567,0.00011332,0.00011332,0.00011332
95,913.338,0.64753,1.02871,0.47405,0.93289,0.76235,0.69444,0.70876,0.49738,0.76235,0.69444,0.70646,0.48718,1.09511,1.94176,1.0204,1.26769,9.91726e-05,9.91726e-05,9.91726e-05
96,920.816,0.63943,1.04128,0.46797,0.92403,0.73068,0.73333,0.71881,0.50967,0.73068,0.73333,0.71445,0.48999,1.09836,1.94132,1.01545,1.27757,8.50255e-05,8.50255e-05,8.50255e-05
97,928.301,0.64743,1.02432,0.46146,0.94147,0.73868,0.73109,0.71251,0.50959,0.73868,0.73109,0.71267,0.48726,1.09537,1.94466,1.04063,1.27709,7.08784e-05,7.08784e-05,7.08784e-05
98,935.833,0.63563,1.00134,0.44333,0.92937,0.74185,0.72542,0.70405,0.49688,0.73055,0.72619,0.70321,0.48007,1.10205,1.96513,1.06202,1.28125,5.67313e-05,5.67313e-05,5.67313e-05
